Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active
Japan,6806.506912000001,25991.549712,1952495,85559,1307911,559025
Jordan,5873.12,6863.879999999999,93144,1041,68045,24058
Kazakhstan,9027.684799999999,12581.6556,2430707,14621,1342402,1073684
Kenya,-4.4368,7126.3656,464603,10463,161998,292142
Kosovo,8009.295568,3929.759676,225972,5229,122234,98509
Kuwait,5510.59208,8926.572008,3120160,23084,2205347,891729
Kyrgyzstan,7746.4234400000005,14056.026424,596200,14979,301587,279634
Laos,3732.9787599999995,19269.153248000002,2229,0,1540,689
Latvia,10693.364800000001,4625.4016,118383,2458,74648,41277
Lebanon,6364.6836,6742.1124,166607,3520,82508,80579
Lesotho,-5566.68,5307.9168,6794,98,1318,5378
Liberia,1208.4743400000002,-1772.745812,51775,3341,23418,25016
Libya,4950.9988,3238.9262280000003,62321,1612,14199,46510
Liechtenstein,8862.32,1795.4,10351,116,9477,758
Lithuania,10371.8472,4489.6844,188762,7019,120592,61151
Luxembourg,9365.2764,1152.3648,501355,11624,379664,110067
Madagascar,-3528.1860359999996,8811.392115999999,207296,1699,99424,106173
Malawi,-2491.8084,6448.682,89666,1640,26822,61204
Malaysia,791.5709919999998,19171.444008,876874,12971,703056,160847
Maldives,602.1264,13765.4916,173602,705,106302,66595
Mali,3303.290096,-751.2792080000002,151494,8229,95287,47978
Malta,6756.25,2702.5752,67483,765,53260,13458
Mauritania,3949.4852,-2056.8704,219095,6720,94938,117437
Mauritius,-3825.4999519999997,10819.804576,39448,1161,32602,5685
Mexico,4443.286,-19279.9264,14946202,1728277,11141225,2076700
Moldova,8913.3808,5333.541200000001,1156957,38196,652369,466392
Monaco,8221.8604,1394.3396,11993,425,8707,2861
Mongolia,8810.15,19523.1796,16999,0,9902,7097
Montenegro,8029.231464000001,3642.38532,72422,1379,31486,39557
Morocco,5976.839599999999,-1333.4088,1002746,23170,703960,275616
Mozambique,-3509.15066,6679.557656,58006,361,0,57645
Namibia,-4316.0288,3476.1952,28836,72,2152,26612
Nepal,5295.339599999999,15839.0,682623,1660,308056,372907
Netherlands,17834.7704,-36983.6984,5167516,622314,16967,4528235
